case_id,activity,timestamp,event_type,arrival_timestamp
case_1,a,0.000000,start,18.672884
case_4,c,20.473724,end,22.217714
case_6,a,24.465184,start,24.465184
case_7,a,26.550406,end,26.550406
case_7,m,26.550406,start,26.550406
case_8,a,26.843348,start,26.843348
case_3,c,25.812087,end,28.162427
case_3,c,12.957838,start,29.548897
case_7,a,25.312219,start,37.728467
case_13,a,38.193607,start,38.193607
case_2,a,12.705267,start,39.044877
case_4,c,16.837144,start,39.332547
case_13,a,41.472044,end,41.472044
case_13.17,y,41.472044,start,41.472044
case_5,c,16.924935,start,41.514257
case_14,a,42.483567,end,42.483567
case_14.18,q,42.483567,start,42.483567
case_9,a,36.462296,end,44.504090
case_13,m,41.472044,start,44.661078
case_14.18.fractal_2,p,49.428378,end,49.428378
case_6,m,49.562237,end,49.562237
case_14.18,p,46.289796,end,50.719243
case_6,q,49.562237,start,51.515795
case_14.18,p,45.358701,start,51.676800
case_7,q,52.525522,start,52.525522
case_7,m,52.525522,end,52.681366
case_7,q,52.772369,end,52.772369
case_7,p,52.772369,start,52.772369
case_9,m,36.462296,start,53.115908
case_10,a,33.224883,start,53.757436
case_1,a,46.590539,end,53.966584
case_14,a,41.981839,start,54.380176
case_8.21,c,54.839296,start,54.839296
case_14.18.fractal_2,q,46.289796,start,55.802101
case_12,c,37.253473,start,56.763545
case_8.21,f,57.289977,start,57.289977
case_8,q,56.169151,start,57.539707
case_5,i,57.712826,start,57.712826
case_8,q,58.039186,end,58.039186
case_9,a,29.230394,start,58.493283
case_8,m,56.169151,end,59.337753
case_14,m,42.483567,start,59.672491
case_13.17,c,60.079165,start,60.079165
case_23,c,60.440569,start,60.440569
case_13.17,d,41.587250,start,60.864691
case_13,m,60.954297,end,61.178393
case_7,m,61.659447,start,61.659447
case_11,a,34.683251,start,62.186680
case_8.21,c,59.291903,start,63.224134
case_5,i,63.493131,end,63.493131
case_7,p,61.659447,end,63.510085
case_14.18,q,45.358701,end,64.046710
case_6.19,g,49.562237,start,64.318131
case_14.18,m,46.289796,start,64.320008
case_13.17,y,44.126862,start,64.672307
case_8.21,f,64.815044,end,64.815044
case_6.19,g,65.089959,end,65.089959
case_16,c,46.213649,start,66.324289
case_13.17,y,60.079165,end,66.355090
case_13.17,d,44.126862,end,66.415006
case_14.18.fractal_2,p,48.660606,start,66.885348
case_13.17.fractal_1,y,41.587250,start,68.107118
case_8,a,54.839296,end,68.165751
case_8,m,54.839296,start,68.430465
case_8.21.fractal_3,c,68.732682,end,68.732682
case_9,i,68.698222,start,68.766883
case_13.17.fractal_1,y,41.682247,end,69.174905
case_5.22,y,69.417611,start,69.417611
case_1,m,46.590539,start,69.515841
case_6,a,48.651201,end,69.966648
case_15,a,45.929738,start,70.325660
case_8.21.fractal_3,c,70.383452,start,70.383452
case_1,i,70.679872,start,70.679872
case_13.17,y,41.587250,end,70.805748
case_2,m,71.169874,start,71.169874
case_8.21.fractal_3,c,71.882985,end,71.882985
case_8.21.fractal_3,c,66.711873,start,72.277402
case_8.21.fractal_3,f,71.882985,start,73.254807
case_7.20,b,66.936091,end,73.512209
case_8.21,f,61.110420,start,73.793274
case_8.21,m,68.921152,end,73.800021
case_8.21.fractal_3,f,74.937784,end,74.937784
case_9.24,q,76.097752,start,76.097752
case_14.18.fractal_2,q,48.660606,end,76.242980
case_8,p,58.039186,start,76.378558
case_6.19,h,65.089959,start,76.695785
case_9.24,p,76.816744,start,76.816744
case_6,m,48.651201,start,77.581580
case_8.21.fractal_3,a,74.937784,start,77.741482
case_9.24,m,78.861358,start,78.861358
case_7.20,b,52.525522,start,79.203721
case_14.18,m,57.063960,end,80.120143
case_8.21,f,59.291903,end,80.573206
case_5.22,s,69.417611,end,80.739234
case_8.21,a,64.815044,start,80.843078
case_2,a,71.169874,end,81.020096
case_5,a,63.493131,start,81.401838
case_8.21,a,66.711873,end,81.639540
case_9.24,q,76.816744,end,81.723117
case_8.21.fractal_3,a,76.501892,end,81.763688
case_8.21,m,66.711873,start,82.298530
case_9.24,m,82.511890,end,82.511890
case_9,i,76.097752,end,82.584445
case_5.22,s,57.712826,start,83.615875
case_6,q,84.206116,end,84.206116
case_6,p,84.206116,start,84.206116
case_8.21.fractal_3,f,70.383452,end,84.301114
case_9.24,i,82.511890,start,85.221272
case_5.22,y,85.406127,end,85.406127
case_5.22.fractal_4,s,85.406127,start,85.406127
case_5,c,57.712826,end,85.457614
case_8.21,c,57.289977,end,86.156336
case_5.22,m,86.993972,start,86.993972
case_11,m,87.483513,start,88.898943
case_5.22,m,89.403189,end,89.403189
case_14,m,88.760261,end,89.443012
